municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,consistente,prop1,prop2,cnae_161001,cnae_1071600,cnae_1072402,cnae_2022300,cnae_2029100,cnae_2031200,cnae_2072000,cnae_2091600,cnae_2093200,total_cnaes
LUIS EDUARDO MAGALHAES,291955,Acrilamida,BA,3,0,2,1,0,0,0,1,0,0,51,1,0,0,0,0,0,0,0,52
LUIZ ALVES,421000,Acrilamida,SC,19,0,2,17,0,0,0,1,0,0,8,1,0,0,5,0,0,0,1,15
LUIZIANA,411373,Acrilamida,PR,15,0,5,9,1,0,1,1,0.06666666666666667,0,0,0,0,0,1,0,0,0,0,1
LUIZIANIA,352770,Acrilamida,SP,22,5,4,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
LUNARDELLI,411375,Acrilamida,PR,32,1,13,18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2
LUPERCIO,352780,Acrilamida,SP,34,2,13,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LUPIONOPOLIS,411380,Acrilamida,PR,15,0,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LUTECIA,352790,Acrilamida,SP,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MACAMBARA,431171,Acrilamida,RS,8,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
MACEDONIA,352820,Acrilamida,SP,22,4,6,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MACHACALIS,313890,Acrilamida,MG,1,1,0,0,0,0,0,0,NA,NA,3,0,0,0,0,0,0,0,0,3
MACHADINHO,431170,Acrilamida,RS,45,2,34,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
MACIEIRA,421005,Acrilamida,SC,18,4,3,11,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
MACUCO,330245,Acrilamida,RJ,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MADRE DE DEUS DE MINAS,313910,Acrilamida,MG,4,4,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,1
MAFRA,421010,Acrilamida,SC,38,0,3,35,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,4
MAGDA,352830,Acrilamida,SP,21,8,5,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
MAGE,330250,Acrilamida,RJ,10,0,10,0,0,0,0,1,0,0,4,2,0,0,2,0,0,0,0,8
MAIQUINIQUE,292000,Acrilamida,BA,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MAIRIPORA,352850,Acrilamida,SP,82,0,32,49,1,0,1,1,0.012195121951219513,0,0,0,0,0,0,0,0,0,5,5
MAJOR GERCINO,421020,Acrilamida,SC,28,0,2,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MAJOR VIEIRA,421030,Acrilamida,SC,16,0,2,14,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4
MALHADA DE PEDRAS,292030,Acrilamida,BA,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MALLET,411390,Acrilamida,PR,61,7,26,6,22,0,22,1,0.4074074074074074,0,1,0,0,0,0,0,0,0,0,1
MAMBORE,411400,Acrilamida,PR,23,0,12,11,0,0,0,1,0,0,4,1,0,0,2,0,0,0,0,7
MANDAGUACU,411410,Acrilamida,PR,33,0,12,21,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2
MANDAGUARI,411420,Acrilamida,PR,21,0,11,10,0,0,0,1,0,0,1,0,0,0,5,0,0,0,2,8
MANDIRITUBA,411430,Acrilamida,PR,47,5,20,13,9,0,9,1,0.21428571428571427,0,1,0,0,0,1,0,0,0,0,2
MANFRINOPOLIS,411435,Acrilamida,PR,15,0,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MANGA,313930,Acrilamida,MG,5,4,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MANGUEIRINHA,411440,Acrilamida,PR,56,9,24,0,23,0,23,1,0.48936170212765956,0,1,2,0,0,8,1,0,0,0,12
MANOEL RIBAS,411450,Acrilamida,PR,12,0,5,4,3,0,3,1,0.25,0,1,0,0,0,0,0,0,2,0,3
MANOEL VIANA,431175,Acrilamida,RS,24,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
MANOEL VITORINO,292040,Acrilamida,BA,7,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MANSIDAO,292045,Acrilamida,BA,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MARABA PAULISTA,352870,Acrilamida,SP,18,5,5,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
MARACAI,352880,Acrilamida,SP,15,0,15,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,8
MARACAJU,500540,Acrilamida,MS,78,0,25,44,9,0,9,1,0.11538461538461539,0,15,3,0,0,0,0,0,0,2,20
MARAGOGIPE,292060,Acrilamida,BA,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MARANGUAPE,230770,Acrilamida,CE,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MARAU,431180,Acrilamida,RS,26,4,12,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2
MARAVILHA,421050,Acrilamida,SC,20,0,2,18,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3
MARAVILHAS,313970,Acrilamida,MG,4,1,0,3,0,0,0,1,0,0,1,0,0,0,12,0,0,0,0,13
MARCELINO RAMOS,431190,Acrilamida,RS,27,3,12,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MARCIONILIO SOUZA,292080,Acrilamida,BA,12,2,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MAREMA,421055,Acrilamida,SC,21,2,6,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
